OBJECTID,SQMI,CSA2010,Shape__Area,Shape__Length
1,2.28745056313,Allendale/Irvington/S. Hilton,63770461.7796021,38770.1655712393
2,1.71754934685,Beechfield/Ten Hills/West Hills,47882527.7110596,37524.9505334171
3,1.61236048239,Belair-Edison,44950030.4716797,31307.3148434597
4,11.4446473391,Brooklyn/Curtis Bay/Hawkins Point,176080124.252869,153901.812575718
5,0.834285284545,Canton,15408538.2247314,23338.6119476477
6,2.5661924754,Cedonia/Frankford,71541340.3063965,39962.5498347166
7,1.32088127975,Cherry Hill,29144181.3516235,22305.3020666822
8,0.754081659289,Chinquapin Park/Belvedere,21022590.1307373,21705.411630344
9,2.19681812516,Claremont/Armistead,61243774.4211426,40104.415980189
10,0.835242838167,Clifton-Berea,23285233.9251099,24022.7646207842
11,1.37102625389,Cross-Country/Cheswolde,38222018.3164673,26788.3018783839
12,1.28124685803,Dickeyville/Franklintown,35719112.4142456,31637.8174237991
13,1.22382479559,Dorchester/Ashburton,34118277.1812134,27136.0757115219
14,0.74382153935,Downtown/Seton Hill,20736554.4064941,21565.859394559
15,0.845208514215,Edmondson Village,23563061.0443115,21504.551357829
16,0.601475298494,Fells Point,12620515.7171631,27670.1699158053
17,1.33438558273,Forest Park/Walbrook,37200535.0296631,36886.8997811279
18,1.68573079796,Glen-Fallstaff,46995477.4781494,48549.0046179292
19,0.97032876548,Greater Charles Village/Barclay,27051213.4559937,26454.2692113332
20,0.814196500419,Greater Govans,22698495.7178955,22982.125714974
21,1.20751005363,Greater Mondawmin,33663448.2791138,31136.7318903515
22,2.03340741146,Greater Roland Park/Poplar Hill,56688145.1790161,39862.7497953117
23,1.51387398639,Greater Rosemont,42204384.5406494,32559.0762211492
24,1.62100768191,Hamilton,45191100.5593872,27712.1110915054
25,2.34446880632,Harford/Echodale,65360039.1698608,40019.1854001996
26,0.419112686488,Highlandtown,11684191.1186523,14976.1238513698
27,2.26922743355,Howard Park/West Arlington,63262430.0730591,36034.4984469719
28,1.13038120912,Inner Harbor/Federal Hill,24995836.2615967,43415.0595478862
29,1.7815134383,Lauraville,49665744.2354736,34419.676527973
30,1.58358486592,Loch Raven,44147812.3265381,29314.3346718286
31,0.319166278961,Madison/East End,8897845.19189453,13120.1587193642
32,2.23978023272,Medfield/Hampden/Woodberry/Remington,62441489.2398071,43152.625699222
33,0.641517134313,Midway/Coldstream,17884471.2862549,22767.8274161904
34,2.42018358262,Morrell Park/Violetville,67470845.9901123,44412.7451303421
35,2.04255117403,Mount Washington/Coldspring,56943058.6497192,38539.7661484899
36,2.68752825463,North Baltimore/Guilford/Homeland,74923987.6937256,42904.2221443544
37,1.89190454863,Northwood,52743271.7706299,38889.8945908863
38,3.22451690956,Orangeville/East Highlandtown,89894372.2113037,47825.8629266244
39,0.520390094269,Patterson Park North & East,14507643.2044067,21786.3746601014
40,1.4728175461,Penn North/Reservoir Hill,41059796.6773071,29078.8384985548
41,1.09048446128,Pimlico/Arlington/Hilltop,30400962.0054932,24725.9340693613
42,0.333663804193,Poppleton/The Terraces/Hollins Market,9302012.99926758,12334.0275347411
43,0.849119492799,Sandtown-Winchester/Harlem Park,23672092.8682861,20987.1433066354
44,3.24590458153,South Baltimore,46353935.4255981,68440.02582664
45,6.77778509435,Southeastern,111251478.480347,102291.480548063
46,0.999922075537,Southern Park Heights,27876227.5908203,24052.221372193
47,1.35467131675,Southwest Baltimore,37766068.8365479,28355.563581391
48,0.731166442276,The Waverlies,20383750.5437012,18733.826879757
49,1.48289327463,Washington Village/Pigtown,39343262.0375977,36962.2600947677
50,1.76349343008,Westport/Mount Winans/Lakeland,45496318.8912354,42939.4280264543
51,0.0565919361562,Unassigned -- Jail,1577692.63299561,5041.99841676716
52,0.881832017127,Oldtown/Middle East,24584065.6171265,23866.3127291891
53,0.404433489766,Harbor East/Little Italy,10213639.8190918,18552.3434177982
54,0.608952549232,Upton/Druid Heights,16976622.3380127,19389.3078212169
55,0.854566623103,Midtown,23823949.9294434,25020.0969698082
56,0.684124186811,Greenmount East,19072287.8240967,20797.4734578598
